ID,saleid_ID,name,description,releasedate,discontinueddate,price,currency_code,height,width,depth,quantity,unitofmeasure_code,unitVolume_code
1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d,b1a2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Laptop,Portátil de alto rendimiento,2023-01-01,2026-01-01,1200.00,USD,2.00,35.00,25.00,1.00,PCE,CM
2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e,c2b3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,Mouse,Mouse inalámbrico,2023-02-01,2025-02-01,25.00,USD,3.00,6.00,4.00,2.00,PCE,CM
3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f,d3c4e5f6-a7b8-4c9d-0e1f-2a3b4c5d6e7f,Teclado,Teclado mecánico,2023-03-01,2025-03-01,80.00,USD,4.00,45.00,15.00,1.00,PCE,CM
4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9a,e4d5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8a,Monitor,Monitor 24 pulgadas,2023-04-01,2026-04-01,200.00,USD,6.00,55.00,20.00,1.00,PCE,CM
5e6f7a8b-9c0d-1e2f-3a4b-5c6d7e8f9a0b,f5e6a7b8-c9d0-4e1f-2a3b-4c5d6e7f8a9b,Impresora,Impresora multifunción,2023-05-01,2027-05-01,350.00,USD,10.00,45.00,35.00,1.00,PCE,CM
6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c,a6f7b8c9-d0e1-4f2a-3b4c-5d6e7f8a9b0c,Tablet,Tablet 10 pulgadas,2023-06-01,2026-06-01,400.00,USD,1.00,25.00,15.00,1.00,PCE,CM
7a8b9c0d-1e2f-3a4b-5c6d-7e8f9a0b1c2d,b7a8c9d0-e1f2-4a3b-4c5d-6e7f8a9b0c1d,Disco Duro,Disco duro externo 1TB,2023-07-01,2025-07-01,90.00,USD,2.00,12.00,8.00,1.00,PCE,CM
8b9c0d1e-2f3a-4b5c-6d7e-8f9a0b1c2d3e,c8b9d0e1-f2a3-4b4c-5d6e-7f8a9b0c1d2e,Memoria USB,Memoria USB 64GB,2023-08-01,2025-08-01,20.00,USD,1.00,6.00,2.00,3.00,PCE,CM
9c0d1e2f-3a4b-5c6d-7e8f-9a0b1c2d3e4f,d9c0e1f2-a3b4-4c5d-6e7f-8a9b0c1d2e3f,Router,Router inalámbrico,2023-09-01,2026-09-01,60.00,USD,3.00,18.00,10.00,1.00,PCE,CM
0d1e2f3a-4b5c-6d7e-8f9a-0b1c2d3e4f5a,e0d1f2a3-b4c5-4d6e-7f8a-9b0c1d2e3f4a,Webcam,Cámara web HD,2023-10-01,2025-10-01,50.00,USD,2.00,8.00,6.00,1.00,PCE,CM
1e2f3a4b-5c6d-7e8f-9a0b-1c2d3e4f5a6b,f1e2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a5b,Altavoces,Altavoces estéreo,2023-11-01,2026-11-01,70.00,USD,4.00,20.00,15.00,1.00,PCE,CM
